TYPE,GEN,GNDR,AGE ,ETH,PE,ATENDC,NTRGPA,GRDNRMTIME
PTR,N1G,F,2,B,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,B,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,M,2,B,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,B,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,P,P,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,M,2,M,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,I,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,B,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,N1G,F,2,I,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,B,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,B,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,M,P,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,M,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,M,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,B,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,B,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,B,P,FT,A,G
PTR,N1G,F,2,M,NP,FT,A,G
PTR,1G,F,2,M,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,B,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,B,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,F,2,B,NP,FT,A,G
PTR,1G,F,2,B,NP,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,B,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,    ,P,FT,A,G
PTR,1G,M,2,M,P,FT,A,G
PTR,1G,M,2,M,P,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,B,NP,FT,A,G
PTR,1G,F,2,B,NP,FT,A,G
PTR,1G,F,2,M,NP,FT,A,G
PTR,N1G,F,2,M,NP,FT,A,G
PTR,1G,F,2,M,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,M,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,M,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,M,NP,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,P,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,I,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,M,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,B,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,B,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,B,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,B,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,M,2,B,P,FT,A,G
PTR,N1G,M,2,I,P,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,M,NP,FT,A,G
PTR,N1G,F,2,M,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,B,NP,FT,A,G
PTR,1G,F,2,P,NP,FT,A,G
PTR,1G,F,2,M,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,I,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,P,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,P,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,P,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,B,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,B,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,B,P,FT,A,G
PTR,N1G,M,2,B,P,FT,A,G
PTR,1G,M,2,M,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,B,P,FT,A,G
PTR,1G,M,2,B,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,B,P,FT,A,G
PTR,1G,M,2,B,P,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,B,P,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,M,NP,FT,A,G
PTR,1G,F,2,M,NP,FT,A,G
PTR,N1G,F,2,M,NP,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,P,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,B,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,M,P,FT,A,G
PTR,1G,M,2,M,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,M,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,F,2,M,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,I,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,B,P,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,B,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,M,P,FT,A,G
PTR,1G,M,2,B,P,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,1G,M,2,M,P,FT,A,G
PTR,1G,M,2,M,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,1G,M,2,M,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,1G,M,2,P,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,P,P,FT,A,G
PTR,1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,B,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,P,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,B,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,M,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,B,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,M,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,M,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,B,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,M,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,M,NP,FT,A,G
PTR,N1G,F,2,M,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,B,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,B,NP,FT,A,G
PTR,N1G,F,2,M,NP,FT,A,G
PTR,N1G,F,2,I,NP,FT,A,G
PTR,1G,F,2,B,NP,FT,A,G
PTR,N1G,F,2,M,NP,FT,A,G
PTR,N1G,F,2,B,NP,FT,A,G
PTR,1G,F,2,M,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,W,NP,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,P,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,B,P,FT,A,G
PTR,1G,F,2,P,P,FT,A,G
PTR,1G,F,2,P,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,B,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,B,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,N1G,F,2,P,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,B,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,B,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,P,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,N1G,F,2,M,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,1G,F,2,B,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,1G,F,2,W,P,FT,A,G
PTR,N1G,F,2,W,P,FT,A,G
PTR,1G,F,2,M,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,B,P,FT,A,G
PTR,N1G,M,2,P,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,B,P,FT,A,G
PTR,N1G,M,2,M,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
PTR,N1G,M,2,W,P,FT,A,G
